,id,date,bedrooms,bathrooms,sqft_living,floors,waterfront,zipcode,yr_built,condition,grade,price,median price,status,lat,long,season,sell price,profit
0,6447300225,2014-11-06,3,2.75,2620,1.0,no,98039,1949,good,average design,1880000.0,1905000.0,buy,47.6144,-122.228,autumn,2444000.0,564000.0
1,3262300818,2015-02-27,4,3.75,3790,2.0,no,98039,2006,regular,high design,1865000.0,1905000.0,buy,47.6351,-122.236,autumn,2424500.0,559500.0
2,2525049266,2014-08-21,3,2.25,3060,2.0,no,98039,1988,regular,average design,1762000.0,1905000.0,buy,47.6189,-122.23,summer,2290600.0,528600.0
3,3262300235,2014-11-26,5,2.5,2870,2.0,no,98039,1962,good,average design,1555000.0,1905000.0,buy,47.6308,-122.238,autumn,2021500.0,466500.0
4,2525049246,2014-10-17,2,2.25,2950,1.0,no,98039,1942,good,average design,1550000.0,1905000.0,buy,47.6209,-122.236,autumn,2015000.0,465000.0
5,3025300225,2014-10-31,5,2.75,3090,1.0,no,98039,1953,good,average design,1450000.0,1905000.0,buy,47.6232,-122.235,autumn,1885000.0,435000.0
6,5427100150,2014-06-26,4,2.25,3250,2.0,no,98039,1979,regular,average design,1410000.0,1905000.0,buy,47.6334,-122.229,summer,1833000.0,423000.0
7,3625049079,2014-08-01,3,2.0,2070,1.0,no,98039,1946,regular,average design,1350000.0,1905000.0,buy,47.616,-122.239,summer,1755000.0,405000.0
8,3262301355,2014-07-25,3,2.75,2680,1.0,no,98039,1964,good,average design,1320000.0,1905000.0,buy,47.6304,-122.234,summer,1716000.0,396000.0
9,3835502815,2014-09-25,3,2.5,3110,1.0,no,98039,1954,regular,average design,1260000.0,1905000.0,buy,47.6112,-122.226,autumn,1638000.0,378000.0
10,5427110040,2014-06-09,4,2.5,2740,2.0,no,98039,1984,regular,average design,1225000.0,1905000.0,buy,47.6353,-122.229,summer,1592500.0,367500.0
11,627300145,2014-08-14,10,5.25,4590,1.0,no,98004,2008,regular,average design,1148000.0,1150000.0,buy,47.5861,-122.113,summer,1492400.0,344400.0
12,1925059194,2014-12-09,4,2.25,2840,1.0,no,98004,1972,regular,average design,1145000.0,1150000.0,buy,47.639,-122.216,autumn,1488500.0,343500.0
13,3860400060,2014-08-01,4,2.5,2660,2.0,no,98004,1999,regular,average design,1130000.0,1150000.0,buy,47.5894,-122.197,summer,1469000.0,339000.0
14,7000100711,2014-06-21,3,2.5,2200,1.0,no,98004,1952,regular,average design,1100000.0,1150000.0,buy,47.5809,-122.191,summer,1430000.0,330000.0
15,4389200761,2015-01-28,3,2.25,1560,1.0,no,98004,1977,good,average design,1100000.0,1150000.0,buy,47.6155,-122.21,autumn,1430000.0,330000.0
16,2344300220,2014-07-14,4,3.5,2210,1.0,no,98004,1977,good,average design,1100000.0,1150000.0,buy,47.5816,-122.197,summer,1430000.0,330000.0
17,2450000295,2014-10-07,3,2.5,2920,2.0,no,98004,1950,regular,average design,1088000.0,1150000.0,buy,47.5814,-122.196,autumn,1414400.0,326400.0
18,5536100010,2015-02-04,4,1.0,1330,1.0,no,98004,1952,regular,average design,1050000.0,1150000.0,buy,47.6223,-122.208,autumn,1365000.0,315000.0
19,2025059150,2014-07-02,4,1.75,1440,1.0,no,98004,1967,good,average design,1038000.0,1150000.0,buy,47.634,-122.204,summer,1349400.0,311400.0
20,686800080,2014-06-12,4,2.5,2370,2.0,no,98004,2003,regular,average design,1034500.0,1150000.0,buy,47.6336,-122.192,summer,1344850.0,310350.0
21,2344300180,2014-06-19,3,2.5,2430,2.0,no,98004,1989,regular,average design,1027000.0,1150000.0,buy,47.5818,-122.198,summer,1335100.0,308100.0
22,4389201021,2014-07-01,3,1.0,1640,1.5,no,98004,1920,good,average design,1014250.0,1150000.0,buy,47.6169,-122.212,summer,1318525.0,304275.0
23,2025059204,2014-07-30,4,2.5,2480,1.0,no,98004,1967,good,average design,1013050.0,1150000.0,buy,47.6344,-122.205,summer,1316965.0,303915.0
24,6669000070,2014-08-05,4,1.75,1780,1.0,no,98004,1967,good,average design,1000000.0,1150000.0,buy,47.6273,-122.194,summer,1300000.0,300000.0
25,5426300060,2014-10-08,3,2.25,2300,1.0,no,98039,1963,good,average design,1000000.0,1905000.0,buy,47.6322,-122.232,autumn,1300000.0,300000.0
26,629000704,2014-07-29,4,2.0,1780,1.5,no,98004,1918,good,average design,1000000.0,1150000.0,buy,47.5849,-122.198,summer,1300000.0,300000.0
